Genes;Aliases_found
G6PC1;G6PC1, G6PC, G6PT, G6Pase, GSD1, GSD1a
CRPPA;CRPPA, ISPD, LGMDR20, MDDGA7, MDDGC7, Nip, hISPD
GFUS;GFUS, FX, P35B, SDR4E1, TSTA3
FCSK;FCSK, 1110046B12Rik, CDGF2, FUK
RIPPLY2-CYB5R4;RIPPLY2-CYB5R4
MMUT;MMUT, MCM, MUT
ND1;MIR2861, BMND15, MIRN2861
ND2;MON1B, HSRG1, SAND2, SRG1
ND3;TMEM109, SND3, hSND3
ND4;SDC4, SYND4
ND4L;ND4L, MTND4L, MT-ND4L
ND5;DAND5, CER2, CERL2, CKTSF1B3, COCO, CRL2, DANTE, GREM3, SP1
ND6;DENND6B, AFI1B, FAM116B
CYTB;CYB561D2, 101F6, TSCytb, TSP10, XXcos-LUCA11.4
COX3;ACOX3
COX1;SYNJ2BP-COX16
COX2;PTGS2, COX-2, COX2, GRIPGHS, PGG/HS, PGHS-2, PHS-2, hCox-2
ATP5F1A;ATP5F1A, ATP5A, ATP5A1, ATP5AL2, ATPM, COXPD22, HEL-S-123m, MC5DN4, MC5DN4A, MC5DN4B, MOM2, OMR, ORM, hATP1
ATP5F1B;ATP5F1B, ATP5B, ATPMB, ATPSB, HEL-S-271, HUMOP2
ATP5F1C;ATP5F1C, ATP5C, ATP5C1, ATP5CL1
ATP5F1D;ATP5F1D, ATP5D, MC5DN5
ATP5F1E;ATP5F1E, ATP5E, ATPE, MC5DN3
ATP5PO;ATP5PO, ATP5O, ATPO, HMC08D05, MC5DN7, OSCP
ATP6;ATP6V0E2, ATP6V0E2L, C7orf32
ATP5PB;ATP5PB, ATP5F1, PIG47
ATP5MC1;ATP5MC1, ATP5A, ATP5G, ATP5G1
ATP5MC2;ATP5MC2, ATP5A, ATP5G2
ATP5MC3;ATP5MC3, ATP5G3, DYTSPG, P3
ATP5PD;ATP5PD, APT5H, ATP5H, ATPQ
ATP5ME;ATP5ME, ATP5I, ATP5K
ATP5MF;ATP5MF-PTCD1, ATP5J2-PTCD1
ATP5MG;ATP5MG, ATP5JG, ATP5L
ATP5MGL;ATP5MGL, ATP5K2, ATP5L2
ATP5PF;ATP5PF, ATP5, ATP5A, ATP5J, ATPM, CF6, F6
ATP8;ATP8A1, ATPASEII, ATPIA, ATPP2
ATP6V1FP2;ATP6V1FP2
BPNT2;BPNT2, GPAPP, IMP_3, IMP-3, IMPA3, IMPAD1
SQOR;SQOR, CGI-44, PRO1975, SQR, SQRDL
HTD2;TAB2, CHTD2, MAP3K7IP2, TAB-2
GK3;GK3, GK3P, GKP3, GKTB
GPAT4;GPAT4, 1-AGPAT_6, AGPAT6, LPAAT-zeta, LPAATZ, TSARG7
GPAT3;GPAT3, AGPAT_10, AGPAT10, AGPAT8, AGPAT9, HMFN0839, LPAAT-theta, MAG1
PLPP1;PLPP1, LLP1a, LPP1, PAP-2a, PAP2, PPAP2A
PLPP3;PLPP3, Dri42, LPP3, PAP2B, PPAP2B, VCIP
PLPP2;PLPP2, LPP2, PAP-2c, PAP2-g, PPAP2C
PLPP5;PLPP5, DPPL1, HTPAP, PPAPDC1B
PLPP4;PLPP4, DPPL2, PPAPDC1, PPAPDC1A
PLAAT3;PLAAT3, AdPLA, FPLD9, H-REV107, H-REV107-1, HRASLS3, HREV107, HREV107-1, HREV107-3, HRSL3, PLA2G16, PLAAT-3
PLAAT2;PLAAT2, HRASLS2, PLA1/2-2, PLAAT-2
SELENOI;SELENOI, EPT1, SELI, SEPI, SPG81
TAFAZZIN;TAFAZZIN, BTHS, CMD3A, EFE, EFE2, G4.5, LVNCX, TAZ, Taz1
PEDS1;PEDS1-UBE2V1, CROC-1B, CROC1B, KUA-UEV, TMEM189-UBE2V1
PEDS1-UBE2V1;PEDS1-UBE2V1, CROC-1B, CROC1B, KUA-UEV, TMEM189-UBE2V1
GBA1;PITPNM1, DRES9, NIR2, PITPNM, RDGB, RDGB1, RDGBA, RDGBA1, Rd9
PRXL2B;PRXL2B, C1orf93, FAM213B
