Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
AACS	hsa00650 / hsa00280	Carbohydrate metabolism / Amino acid metabolism	Butanoate metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	acetoacetyl-CoA	acetoacetyl-CoA synthetase
AADAT	hsa00310 / hsa00380	Amino acid metabolism	Lysine degradation - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	aminoadipate	aminoadipate aminotransferase
AANAT	hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	aralkylamine	aralkylamine N-acetyltransferase
AASDHPPT	hsa00770	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis - Homo sapiens (human)	aminoadipate-semialdehyde	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	aminoadipate-semialdehyde	aminoadipate-semialdehyde synthase
ABAT	hsa00640 / hsa00650 / hsa00250 / hsa00280 / hsa00410	Carbohydrate metabolism / Amino acid metabolism / Metabolism of other amino acids	Propanoate metabolism - Homo sapiens (human) / Butanoate metabolism - Homo sapiens (human) / Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	4-aminobutyrate	4-aminobutyrate aminotransferase
ABHD14A-ACY1	hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	ABHD14A-ACY1	ABHD14A-ACY1 readthrough
ABHD16A	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	abhydrolase	abhydrolase domain containing 16A, phospholipase
ACAA1	hsa00071 / hsa00592 / hsa01040 / hsa00280	Lipid metabolism / Amino acid metabolism	Fatty acid degradation - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	acetyl-CoA	acetyl-CoA acyltransferase 1
ACAA2	hsa00062 / hsa00071 / hsa00280	Lipid metabolism / Amino acid metabolism	Fatty acid elongation - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	acetyl-CoA	acetyl-CoA acyltransferase 2
ACACA	hsa00620 / hsa00640 / hsa00061	Carbohydrate metabolism / Lipid metabolism	Pyruvate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Fatty acid biosynthesis - Homo sapiens (human)	acetyl-CoA	acetyl-CoA carboxylase alpha
