cancer_types	genes	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI	OS_log_rank_chisq	OS_p_val	OS_worst_prognosis_group	DSS_log_rank_chisq	DSS_p_val	DSS_worst_prognosis_group	DFI_log_rank_chisq	DFI_p_val	DFI_worst_prognosis_group	PFI_log_rank_chisq	PFI_p_val	PFI_worst_prognosis_group	immune_cells	cor	padj	Infiltrate_profile	Classification	Microenvironment_score_details
ACC	CXCL1	0.349224549535842	3.30022257243109e-34	33.4814567696012	Underexpression	****	5.3e-22	21.2757241303992	Mutation	TMB	0.174	NS	0.162	NS		""	0.632	NS	2.17777769360848	0.14001651085593	NS	2.32571289265	0.127251910187441	NS			""	0.236159219935324	0.626993995769099	NS	Neutrophil_CIBERSORT	0.323751970373101	0.118198509998334	dual	dual	Anti-tumoral: 0 (  ) pro-tumoral: 0 (  ) dual: 0.562622045774656 ( Neutrophil_CIBERSORT(0.323751970373101), Macrophage M0_CIBERSORT(0.238870075401555) )
ACC	CXCL1	0.349224549535842	3.30022257243109e-34	33.4814567696012	Underexpression	****	5.3e-22	21.2757241303992	Mutation	TMB	0.174	NS	0.162	NS		""	0.632	NS	2.17777769360848	0.14001651085593	NS	2.32571289265	0.127251910187441	NS			""	0.236159219935324	0.626993995769099	NS	Macrophage M0_CIBERSORT	0.238870075401555	1	dual	dual	Anti-tumoral: 0 (  ) pro-tumoral: 0 (  ) dual: 0.562622045774656 ( Neutrophil_CIBERSORT(0.323751970373101), Macrophage M0_CIBERSORT(0.238870075401555) )
BLCA	ARFRP1	0.211795631396449	2.5956402066869e-05	4.58575550720283	Overexpression	**	0.0024	2.61978875828839	Mutation	TMB	0.451	NS	0.995	NS	0.998	NS	0.994	NS	0.598974808481918	0.438969450633193	NS	1.45589843530344	0.227583851737585	NS	0.894775228457897	0.344186538485281	NS	2.05576426435266	0.151631154281842	NS	T cell CD4+ memory activated_CIBERSORT	0.113642755748234	0.643065886377774	anti-tumoral	anti-tumoral	Anti-tumoral: 0.113642755748234 ( T cell CD4+ memory activated_CIBERSORT(0.113642755748234) ) pro-tumoral: 0 (  ) dual: 0 (  )
BLCA	DNAH17-AS1	0.149630576246953	1.19798778770165e-05	4.92154760912602	Overexpression	***	0.00069	3.16115090926274	Mutation	TMB	0.993	NS	0.994	NS	0.998	NS	0.993	NS	0.489242337282089	0.484265475203508	NS	0.352254473260985	0.552839693556671	NS	0.161010216214606	0.688228133457416	NS	0.558501969409991	0.454864452282462	NS	T cell CD4+ memory activated_CIBERSORT	0.103002186887731	1	anti-tumoral	anti-tumoral	Anti-tumoral: 0.103002186887731 ( T cell CD4+ memory activated_CIBERSORT(0.103002186887731) ) pro-tumoral: 0 (  ) dual: 0 (  )
BLCA	GLRX3	0.219446633276251	9.46032942481937e-13	12.0240937404597	Overexpression	****	3.9e-07	6.4089353929735	Mutation	TMB	0.994	NS	0.995	NS	0.998	NS	0.994	NS	2.3640577541684	0.124158859684479	NS	1.65704936775186	0.198002183644358	NS	0.895441935965573	0.34400684298342	NS	2.36667944111477	0.123950454608143	NS	T cell CD4+ memory activated_CIBERSORT	0.144349614052265	0.104391581440719	anti-tumoral	anti-tumoral	Anti-tumoral: 0.16964105317597 ( T cell CD4+ memory activated_CIBERSORT(0.144349614052265), T cell CD8+_CIBERSORT(0.125613605688048), Myeloid dendritic cell activated_CIBERSORT(-0.100322166564343) ) pro-tumoral: 0.11354484749449 ( T cell CD4+ Th2_XCELL(0.11354484749449) ) dual: 0 (  )
BLCA	GLRX3	0.219446633276251	9.46032942481937e-13	12.0240937404597	Overexpression	****	3.9e-07	6.4089353929735	Mutation	TMB	0.994	NS	0.995	NS	0.998	NS	0.994	NS	2.3640577541684	0.124158859684479	NS	1.65704936775186	0.198002183644358	NS	0.895441935965573	0.34400684298342	NS	2.36667944111477	0.123950454608143	NS	T cell CD8+_CIBERSORT	0.125613605688048	0.319246989882636	anti-tumoral	anti-tumoral	Anti-tumoral: 0.16964105317597 ( T cell CD4+ memory activated_CIBERSORT(0.144349614052265), T cell CD8+_CIBERSORT(0.125613605688048), Myeloid dendritic cell activated_CIBERSORT(-0.100322166564343) ) pro-tumoral: 0.11354484749449 ( T cell CD4+ Th2_XCELL(0.11354484749449) ) dual: 0 (  )
BLCA	GLRX3	0.219446633276251	9.46032942481937e-13	12.0240937404597	Overexpression	****	3.9e-07	6.4089353929735	Mutation	TMB	0.994	NS	0.995	NS	0.998	NS	0.994	NS	2.3640577541684	0.124158859684479	NS	1.65704936775186	0.198002183644358	NS	0.895441935965573	0.34400684298342	NS	2.36667944111477	0.123950454608143	NS	Myeloid dendritic cell activated_CIBERSORT	-0.100322166564343	1	anti-tumoral	anti-tumoral	Anti-tumoral: 0.16964105317597 ( T cell CD4+ memory activated_CIBERSORT(0.144349614052265), T cell CD8+_CIBERSORT(0.125613605688048), Myeloid dendritic cell activated_CIBERSORT(-0.100322166564343) ) pro-tumoral: 0.11354484749449 ( T cell CD4+ Th2_XCELL(0.11354484749449) ) dual: 0 (  )
BLCA	GLRX3	0.219446633276251	9.46032942481937e-13	12.0240937404597	Overexpression	****	3.9e-07	6.4089353929735	Mutation	TMB	0.994	NS	0.995	NS	0.998	NS	0.994	NS	2.3640577541684	0.124158859684479	NS	1.65704936775186	0.198002183644358	NS	0.895441935965573	0.34400684298342	NS	2.36667944111477	0.123950454608143	NS	T cell CD4+ Th2_XCELL	0.11354484749449	0.601846946214266	pro-tumoral	anti-tumoral	Anti-tumoral: 0.16964105317597 ( T cell CD4+ memory activated_CIBERSORT(0.144349614052265), T cell CD8+_CIBERSORT(0.125613605688048), Myeloid dendritic cell activated_CIBERSORT(-0.100322166564343) ) pro-tumoral: 0.11354484749449 ( T cell CD4+ Th2_XCELL(0.11354484749449) ) dual: 0 (  )
BLCA	PEG10	0.548600048227424	1.06696104614247e-08	7.97185143601526	Underexpression	*	0.021	1.67778070526608	Mutation	TMB	0.992	NS	0.994	NS	0.997	NS	0.992	NS	1.32281015183102	0.250088338391991	NS	0.93956367059749	0.332390079676327	NS	0.47369738555353	0.491291097878219	NS	1.42856989748483	0.231997973806541	NS	T cell CD8+_CIBERSORT	0.100025498081145	1	anti-tumoral	anti-tumoral	Anti-tumoral: 0.100025498081145 ( T cell CD8+_CIBERSORT(0.100025498081145) ) pro-tumoral: 0 (  ) dual: 0 (  )
BLCA	SMARCC2	0.276246935116877	1.21758328051615e-15	14.9145013241325	Underexpression	***	0.00074	3.13076828026902	Mutation	TMB	0.0775	NS	0.116	NS	0.907	NS	0.953	NS	3.64405787997686	0.0562696309137291	NS	3.14197115498017	0.0763015418344657	NS	0.0217020659328207	0.882882437793608	NS	0.0128975861787244	0.909580620025941	NS	B cell memory_CIBERSORT	-0.102965441167169	1	dual	dual	Anti-tumoral: 0 (  ) pro-tumoral: 0 (  ) dual: -0.070005206690378 ( B cell memory_CIBERSORT(-0.102965441167169), B cell plasma_CIBERSORT(0.136592165667931), Monocyte_CIBERSORT(-0.10363193119114) )
BLCA	SMARCC2	0.276246935116877	1.21758328051615e-15	14.9145013241325	Underexpression	***	0.00074	3.13076828026902	Mutation	TMB	0.0775	NS	0.116	NS	0.907	NS	0.953	NS	3.64405787997686	0.0562696309137291	NS	3.14197115498017	0.0763015418344657	NS	0.0217020659328207	0.882882437793608	NS	0.0128975861787244	0.909580620025941	NS	B cell plasma_CIBERSORT	0.136592165667931	0.171102188304731	dual	dual	Anti-tumoral: 0 (  ) pro-tumoral: 0 (  ) dual: -0.070005206690378 ( B cell memory_CIBERSORT(-0.102965441167169), B cell plasma_CIBERSORT(0.136592165667931), Monocyte_CIBERSORT(-0.10363193119114) )
BLCA	SMARCC2	0.276246935116877	1.21758328051615e-15	14.9145013241325	Underexpression	***	0.00074	3.13076828026902	Mutation	TMB	0.0775	NS	0.116	NS	0.907	NS	0.953	NS	3.64405787997686	0.0562696309137291	NS	3.14197115498017	0.0763015418344657	NS	0.0217020659328207	0.882882437793608	NS	0.0128975861787244	0.909580620025941	NS	Monocyte_CIBERSORT	-0.10363193119114	1	dual	dual	Anti-tumoral: 0 (  ) pro-tumoral: 0 (  ) dual: -0.070005206690378 ( B cell memory_CIBERSORT(-0.102965441167169), B cell plasma_CIBERSORT(0.136592165667931), Monocyte_CIBERSORT(-0.10363193119114) )
BLCA	TCTN2	0.168486625577643	0.00262072351796557	2.58157879399255	Overexpression	**	0.0019	2.72124639904717	Mutation	TMB	0.0752	NS	0.995	NS	0.66	NS	0.105	NS	4.1282110217168	0.0421739126509446	WT	4.15662299116176	0.0414720112222526	WT	0.247144074813161	0.619093240033077	NS	3.3710815247438	0.0663501847302564	NS	Cancer associated fibroblast_XCELL	0.114543660034475	0.61283216425372	pro-tumoral	pro-tumoral	Anti-tumoral: 0 (  ) pro-tumoral: 0.114543660034475 ( Cancer associated fibroblast_XCELL(0.114543660034475) ) dual: -0.101503815829424 ( T cell CD4+ memory resting_CIBERSORT(-0.101503815829424) )
BLCA	TCTN2	0.168486625577643	0.00262072351796557	2.58157879399255	Overexpression	**	0.0019	2.72124639904717	Mutation	TMB	0.0752	NS	0.995	NS	0.66	NS	0.105	NS	4.1282110217168	0.0421739126509446	WT	4.15662299116176	0.0414720112222526	WT	0.247144074813161	0.619093240033077	NS	3.3710815247438	0.0663501847302564	NS	T cell CD4+ memory resting_CIBERSORT	-0.101503815829424	1	dual	pro-tumoral	Anti-tumoral: 0 (  ) pro-tumoral: 0.114543660034475 ( Cancer associated fibroblast_XCELL(0.114543660034475) ) dual: -0.101503815829424 ( T cell CD4+ memory resting_CIBERSORT(-0.101503815829424) )
