deathtype	gene	description	gene_id	gene_biotype	pmid	comment
Alkaliptosis	CA9	carbonic anhydrase 9	ENSG00000107159.14	protein_coding	31467365	CA9 is identified as a key negative regulator in Alkaliptosis. CA9, which is activated by the NF-¦ÊB pathway, is thought to be a negatively regulated gene responsible for inhibiting intracellular alkalinization and resistance to Alkaliptosis.
Alkaliptosis	ATP6V0D1	ATPase H+ transporting V0 subunit d1	ENSG00000159720.13	protein_coding	36640329	The study used mass-spectrometry-based drug target identification and point mutation technologies to reveal that ATP6V0D1 is a direct target of the opioid analgesic drug JTC801, which drives Alkaliptosis in PDAC cells by inhibiting the STAT3-mediated lysosomal pH homeostasis.
Alkaliptosis	ACSS2	acyl-CoA synthetase short chain family member 2	ENSG00000131069.20	protein_coding	36707625	JTC801 can up-regulate the mRNA and protein expression of ACSS2 and ACSS2 can promote NF-¦ÊB-dependent CA9 downregulation through the production of intracellular acetyl-coenzyme A and subsequent histone acetylation, leading to alkaliptosis.
Apoptosis	ACAA2	acetyl-CoA acyltransferase 2	ENSG00000167315.18	protein_coding	29323178	ACAA2 participates in cellular biological processes by regulating cell apoptosis. Overexpression of ACAA2 can induce cell apoptosis, while shRNA interference can inhibit this process.
Apoptosis	ASAH2	N-acylsphingosine amidohydrolase 2	ENSG00000188611.17	protein_coding	34360617	Under the action of hormone disruptors, the expression of ASAH2 will decrease, leading to the accumulation of ceramide in skin cells, which can cause skin inflammation and cell apoptosis
Apoptosis	CD38	CD38 molecule	ENSG00000004468.13	protein_coding	35486480	CD38 is associated with apoptosis in B cells and can regulate apoptosis by inhibiting or inducing CD38 expression.CD38 on B cells can induce proliferation and apoptosis by crosslinking related cytokines, thus playing a role in apoptosis.In chronic B-cell lymphoblastic leukemia (B-CLL),CD38 is related to cell apoptosis,ZAP-70 protein tyrosine phosphorylation,and extracellular signal-regulated kinase (ERK) phosphorylation.CD38+ B cells are highly sensitive to apoptosis inducers.
Apoptosis	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	ENSG00000128965.13	protein_coding	19109178	CHAC1 is a component of the unfolded protein response pathway and participates in regulating apoptosis.It is downstream of the ATF4-ATF3-CHOP signaling pathway and promotes apoptosis signaling through AIF and PARP.Overexpression of CHAC1 enhances apoptosis,while small interfering RNA targeting CHAC1 suppresses apoptosis.
Apoptosis	CTH	cystathionine gamma-lyase	ENSG00000116761.12	protein_coding	35090378	Oxidized-low density lipoprotein can induce VSMC apoptosis, while H2S donor NaHS and CTH overexpression can reverse this phenomenon,while CTH knockout exacerbates this apoptosis.Western blot detection showed that the high expression of GRP78 under the action of ox-LDL indicates that CTH knockout caused endoplasmic reticulum stress, which also contributes to the occurrence of VSMC apoptosis.
Apoptosis	CYP1B1	cytochrome P450 family 1 subfamily B member 1	ENSG00000138061.12	protein_coding	29453779	CYP1B1 participates in Apoptosis by metabolizing melatonin to generate N-acetylserotonin (NAS), which induces mitochondria-dependent apoptosis in tumor cells.
Apoptosis	DBH	dopamine beta-hydroxylase	ENSG00000123454.12	protein_coding	34260392	DBH is involved in apoptosis through the expression of Casp3 protein induced by rAAV-taCasp3 virus,resulting in the death of co-expressing neurons.DBH is a specific type of neuron called ventrolateral medulla (VLM) catecholaminergic neuron,which is associated with antigen adaptive immunity and tumor growth and participates in tumor development through the viral messenger.
