genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
(`ABHD11-AS1` + `ACTA2-AS1` + `AFAP1-AS1` + AIRN + `ARAP1-AS1` + `BDNF-AS` + CASC11 + CASC15 + CASC9 + `CBR3-AS1` + `CDKN2B-AS1` + CIR1 + `CRYM-AS1` + DANCR + `DHRS4-AS1` + DLEU2 + DUXAP10 + DUXAP8 + `EZR-AS1` + `FAM83C-AS1` + `FAM83H-AS1` + `FOXD2-AS1` + `FOXP4-AS1` + GAS5 + HAGLR + HEIH + HOTAIRM1 + `HOXA-AS3` + `HOXA11-AS` + IL7R + LINC00160 + LINC00174 + LINC00301 + LINC00460 + LINC00467 + LINC00511 + LINC01088 + LINC01232 + LINC01234 + LINC01296 + MIR31HG + MSTO2P + `OIP5-AS1` + PCAT18 + PCAT6 + PRAC2 + PWAR5 + `ROR1-AS1` + RPL13AP20 + `SH3PXD2A-AS1` + SNHG1 + SNHG12 + SNHG15 + SNHG16 + SNHG17 + SNHG22 + SNHG6 + `SOX2-OT` + TERC + `TNK2-AS1` + `UNC5B-AS1` + XIST + `ZNF674-AS1`)	TGCT	-0.508206147784852	5.30027223890365e-05	4.27570182307521	Unchanged	""			Methylation	Stemness	0.58	NS	0.613	NS	0.277	NS	0.268	NS
(`ABHD11-AS1` + `ACTA2-AS1` + `CBR3-AS1` + `FAM83H-AS1` + `HNF1A-AS1` + LINC01088 + `LOXL1-AS1` + `MYLK-AS1` + PWAR5 + SNHG17)	STAD	-0.37651666519729	1.97235415908859e-07	6.70501509977618	Overexpression	****	4.2e-26	25.3767507096021	Methylation	Microsatellite instability	0.915	NS	0.989	NS	0.329	NS	0.669	NS
(`ABHD11-AS1` + `ACTA2-AS1` + LINC01234)	BRCA	-0.296268268822236	3.0251977353287e-17	16.5192462333898	Underexpression	****	2.8e-29	28.5528419686578	Methylation	Stemness	0.197	NS	0.729	NS	0.551	NS	0.456	NS
(`ABHD11-AS1` + `AFAP1-AS1` + `AGAP2-AS1` + AIRN + `BDNF-AS` + `CACNA1G-AS1` + CASC15 + CASC9 + `CBR3-AS1` + `CDKN2B-AS1` + `DHRS4-AS1` + DLEU2 + DUXAP10 + `ELFN1-AS1` + `EZR-AS1` + `FAM83H-AS1` + `FOXP4-AS1` + HAGLR + `HAS2-AS1` + `LAMP5-AS1` + `LINC-PINT` + LINC00467 + LINC00511 + LINC01232 + `LOXL1-AS1` + MIAT + MIR31HG + `OIP5-AS1` + PART1 + PCAT18 + PCAT6 + SNHG12 + SNHG16 + SNHG22 + TINCR + `TNK2-AS1` + `UNC5B-AS1`)	LGG	0.473860221160406	3.12201899584246e-05	4.50556445881221	Unchanged	""			Methylation	Stemness	8.38e-18	Protective	1.07e-18	Protective	0.298	NS	4.9e-21	Protective
(`ABHD11-AS1` + `BDNF-AS` + CASC11 + CASC9 + `CRYM-AS1` + GAS5 + IL7R + LINC01232 + MIR31HG + `ROR1-AS1` + `SH3PXD2A-AS1` + SNHG12 + SNHG6 + `TSPEAR-AS2`)	UCEC	-0.661174828628413	5.12305650212775e-23	22.2904708542687	Overexpression	****	1.7e-05	4.76955107862173	Methylation	Stemness	0.663	NS	0.442	NS	0.252	NS	0.185	NS
(`ABHD11-AS1` + `BDNF-AS` + CASC11 + DANCR + `EZR-AS1` + IL7R + LINC00460 + LINC00511 + LINC01088 + LINC01232 + LINC01234 + MIR31HG + PWAR5 + SNHG1 + SNHG15 + SNHG16 + SNHG20 + SNHG6 + TINCR + `TSPEAR-AS2`)	BLCA	-0.437323943026115	1.33695168519838e-19	18.8738842870019	Overexpression	**	0.0046	2.33724216831843	Methylation	Stemness	0.68	NS	0.44	NS	0.182	NS	0.134	NS
(`ABHD11-AS1` + `BDNF-AS` + GAS5 + `MRPL23-AS1` + SNHG1 + SNHG12 + SNHG6)	SKCM	-0.415406092819833	1.60789321676598e-23	22.793742796949	Underexpression	****	2.3e-76	75.6382721639824	Methylation	Stemness	0.579	NS	0.987	NS			0.4	NS
(`ABHD11-AS1` + `CBR3-AS1` + `FAM83C-AS1` + `FAM83H-AS1` + `HNF1A-AS1` + IL7R + LINC01088 + LINC01234 + `MRPL23-AS1` + PWAR5 + SNHG17 + `TSPEAR-AS2`)	STAD	-0.47439371416323	1.31827090316171e-14	13.8799953335517	Overexpression	****	3.1e-48	47.5086383061657	Methylation	Stemness	0.837	NS	0.99	NS	0.426	NS	0.758	NS
(`ABHD11-AS1` + `CDKN2B-AS1` + `FAM83C-AS1` + GAS5 + IL7R + LINC00174 + LINC01232 + SNHG1 + SNHG12 + SNHG15 + SNHG6 + XIST)	HNSC	-0.416772205531559	1.18103998232089e-10	9.92773539975531	Overexpression	****	2.3e-07	6.63827216398241	Methylation	Stemness	0.791	NS	0.716	NS	0.602	NS	0.606	NS
(`ABHD11-AS1` + `DDX11-AS1` + GAS5 + PCAT6)	THCA	0.192416058079561	6.57049801979873e-11	10.182401711254	Overexpression	****	4.8e-52	51.3187587626244	Methylation	Stemness	0.00414	Risky	0.0485	Risky	0.78	NS	0.373	NS
(`ABHD11-AS1` + `DHRS4-AS1` + `LAMP5-AS1` + LINC00460 + MIR31HG)	GBM	0.662902053410712	1.51852664319539e-06	5.81857758379759	Overexpression	****	6.2e-05	4.20760831050175	Methylation	Stemness	0.0254	Protective	0.0314	Protective			0.0527	NS
(`ABHD11-AS1` + `ELFN1-AS1` + `FAM83C-AS1` + `HNF1A-AS1` + IL7R + LINC00467 + LINC00511 + LINC01088 + LINC01234 + `LOXL1-AS1` + PART1)	COAD	-0.481600322668968	0.000598995381381189	3.22257652627245	Overexpression	****	1.7e-75	74.7695510786217	Methylation	Stemness	0.243	NS	0.0916	NS	0.577	NS	0.518	NS
(`ABHD11-AS1` + `EZR-AS1` + `FAM83H-AS1` + LINC01232 + `MRPL23-AS1` + PCAT18 + `ROR1-AS1` + SNHG12 + SNHG15 + SNHG17 + SNHG6 + `TNK2-AS1` + `TSPEAR-AS2` + UCA1 + `UNC5B-AS1`)	CESC	-0.366073317394337	1.05757576769147e-06	5.97568850876468	Unchanged	ns	0.15	0.823908740944319	Methylation	Stemness	0.861	NS	0.992	NS	0.341	NS	0.705	NS
(`ABHD11-AS1` + `FAM83H-AS1` + SNHG17)	STAD	-0.283903476601732	9.44287756659427e-07	6.02489564120415	Overexpression	****	1.7e-76	75.7695510786217	Methylation	Tumor mutational burden	0.37	NS	0.372	NS	0.314	NS	0.399	NS
(`ABHD11-AS1` + `HNF1A-AS1` + LINC01088 + `MRPL23-AS1`)	READ	-0.380055083412522	6.02866716891017e-13	12.2197786920338	Overexpression	**	0.0073	2.13667713987954	Methylation	Stemness	0.952	NS	0.857	NS	0.692	NS	0.91	NS
(`ABHD11-AS1` + CRNDE + DANCR + `ELFN1-AS1` + `EZR-AS1` + `FAM83H-AS1` + LINC01232 + SNHG12 + SNHG20 + `TSPEAR-AS2`)	PRAD	-0.435957373720346	2.43713460219254e-11	10.6131204842026	Overexpression	****	2.9e-15	14.537602002101	Methylation	Stemness	0.632	NS	0.964	NS	0.219	NS	0.167	NS
(`ABHD11-AS1` + DANCR + DUXAP10 + GAS5 + KCNQ1OT1 + LINC00301 + LINC00630 + LINC01088 + LINC01232 + LINC01296 + `MRPL23-AS1` + PART1 + PCAT18 + RPL13AP20 + SNHG12 + SNHG15 + `TSPEAR-AS2` + `UNC5B-AS1` + `ZNF674-AS1`)	LUAD	-0.421001064502516	6.42190267924208e-08	7.19233628023766	Unchanged	""			Methylation	Stemness	0.865	NS	0.918	NS	0.661	NS	0.237	NS
(`ABHD11-AS1` + LINC00511 + SNHG17)	GBM	-0.533838115328512	3.31587273736355e-08	7.47940214595089	Overexpression	****	2e-70	69.698970004336	Methylation	Microsatellite instability	0.744	NS	0.719	NS			0.873	NS
(`ABHD11-AS1` + LINC01234 + `UNC5B-AS1`)	ESCA	-0.434319155041665	0.0247259786350919	1.60684651035124	Overexpression	****	6e-62	61.2218487496164	Methylation	Stemness	0.574	NS	0.866	NS	0.23	NS	0.518	NS
