Database	Mature_mirna_id	Target_genes	Pubmed_id
mirecords	hsa-miR-19a-3p	PTEN	14697198
mirecords	hsa-miR-19a-3p	PTEN	14697198
mirecords	hsa-miR-19a-3p	PTEN	14697198
mirecords	hsa-miR-19a-3p	PTEN	14697198
mirecords	hsa-miR-19a-3p	PTEN	14697198
mirecords	hsa-miR-19a-3p	PTEN	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-1-3p	G6PD	14697198
mirecords	hsa-miR-124-3p	RDH10	17724173
mirecords	hsa-miR-27b-3p	CYP1B1	16982751
mirecords	hsa-miR-124-3p	ACAA2	16549876
mirecords	hsa-miR-124-3p	SUCLG2	16549876
mirecords	hsa-miR-124-3p	ATP6V0E1	16549876
mirecords	hsa-miR-1-3p	GNPDA2	15685193
mirecords	hsa-miR-1-3p	INPP5F	15685193
mirecords	hsa-miR-1-3p	GCH1	15685193
mirecords	hsa-miR-1-3p	PGM2	15685193
mirecords	hsa-miR-1-3p	OAT	15685193
mirecords	hsa-miR-124-3p	DHCR24	15685193
mirecords	hsa-miR-124-3p	MTMR6	15685193
mirecords	hsa-miR-124-3p	PGM1	15685193
mirecords	hsa-miR-124-3p	CYP1B1	15685193
mirecords	hsa-miR-148a-3p	DNMT3B	18367714
mirecords	hsa-miR-148a-3p	DNMT3B	18367714
mirecords	hsa-miR-148a-3p	DNMT3B	18367714
mirecords	hsa-miR-148a-3p	DNMT3B	18367714
mirecords	hsa-miR-148b-3p	DNMT3B	18367714
mirecords	hsa-miR-148b-3p	DNMT3B	18367714
mirecords	hsa-miR-122-5p	GYS1	18073344
mirecords	hsa-miR-122-5p	ALDOA	18073344
mirecords	hsa-miR-214-3p	PTEN	18199536
mirecords	hsa-miR-214-3p	PTEN	18199536
mirecords	hsa-miR-29a-3p	DNMT3A	17890317
mirecords	hsa-miR-29b-3p	DNMT3A	17890317
mirecords	hsa-miR-29c-3p	DNMT3A	17890317
mirecords	hsa-miR-29a-3p	DNMT3B	17890317
mirecords	hsa-miR-29a-3p	DNMT3B	17890317
mirecords	hsa-miR-29a-3p	DNMT3B	17890317
mirecords	hsa-miR-29a-3p	DNMT3B	17890317
mirecords	hsa-miR-29a-3p	DNMT3B	17890317
mirecords	hsa-miR-29a-3p	DNMT3B	17890317
mirecords	hsa-miR-29b-3p	DNMT3B	17890317
mirecords	hsa-miR-29b-3p	DNMT3B	17890317
mirecords	hsa-miR-29c-3p	DNMT3B	17890317
mirecords	hsa-miR-29c-3p	DNMT3B	17890317
mirecords	hsa-miR-96-5p	ADCY6	17597072
mirecords	hsa-miR-96-5p	ADCY6	17597072
mirecords	hsa-miR-96-5p	ADCY6	17597072
mirecords	hsa-miR-96-5p	ADCY6	17597072
mirecords	hsa-miR-96-5p	ADCY6	17597072
mirecords	hsa-miR-96-5p	ADCY6	17597072
mirecords	hsa-miR-182-5p	ADCY6	17597072
mirecords	hsa-miR-182-5p	ADCY6	17597072
mirecords	hsa-miR-182-5p	ADCY6	17597072
mirecords	hsa-miR-182-5p	ADCY6	17597072
mirecords	hsa-miR-182-5p	ADCY6	17597072
mirecords	hsa-miR-182-5p	ADCY6	17597072
mirecords	hsa-miR-24-3p	DHFR	17686970
mirecords	hsa-miR-124-3p	ATP6V0E1	15685193
mirecords	hsa-miR-124-3p	PLOD3	15685193
mirecords	hsa-miR-124-3p	HADHB	15685193
mirecords	hsa-miR-124-3p	AK2	15685193
mirecords	hsa-miR-124-3p	AK2	15685193
mirecords	hsa-miR-124-3p	HADH	15685193
mirecords	hsa-miR-124-3p	ELOVL1	15685193
mirecords	hsa-miR-124-3p	B4GALT1	15685193
mirecords	hsa-miR-124-3p	NME4	15685193
mirecords	hsa-miR-124-3p	ACAA2	15685193
mirecords	hsa-miR-124-3p	PAPSS2	15685193
mirecords	hsa-miR-124-3p	ALDH9A1	15685193
mirecords	hsa-miR-124-3p	DCTD	15685193
mirecords	hsa-miR-373-3p	RPIA	15685193
mirecords	hsa-miR-373-3p	RPIA	15685193
mirecords	hsa-miR-373-3p	CYB5R4	15685193
mirecords	hsa-miR-16-5p	TPI1	18362358
mirecords	hsa-miR-16-5p	TPI1	18362358
mirecords	hsa-miR-15a-5p	ECHDC1	18362358
mirecords	hsa-miR-15a-5p	UGDH	18362358
mirecords	hsa-miR-15a-5p	UGP2	18362358
mirecords	hsa-miR-125b-5p	UGT2B15	18056640
mirecords	hsa-miR-125b-5p	UGT2B28	18056640
mirecords	hsa-miR-125b-5p	SGPL1	18056640
mirecords	hsa-miR-125b-5p	CYP1A1	18056640
mirecords	hsa-miR-125b-5p	UGT2B17	18056640
mirecords	hsa-miR-16-5p	ECHDC1	18362358
mirecords	hsa-miR-16-5p	UGDH	18362358
mirecords	hsa-miR-16-5p	UGP2	18362358
mirecords	hsa-miR-15a-5p	TPI1	18362358
mirecords	hsa-miR-15a-5p	TPI1	18362358
mirecords	hsa-miR-34a-5p	SIRT1	18755897
mirecords	hsa-miR-26a-5p	EZH2	18713946
mirecords	hsa-let-7f-5p	ASS1	18560586
mirecords	hsa-miR-192-5p	DHFR	19088023
mirecords	hsa-miR-101-3p	PTGS2	19133256
mirecords	hsa-miR-205-5p	INPPL1	19033458
