miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT003103	hsa-miR-122-5p	hsa	G6PC3	92579	hsa	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003737	hsa-miR-29a-3p	hsa	IMPDH1	3614	hsa	Luciferase reporter assay	Non-Functional MTI	17724173
MIRT003051	hsa-miR-124-3p	hsa	RDH10	157506	hsa	Luciferase reporter assay	Functional MTI	17724173
MIRT003029	hsa-miR-29b-3p	hsa	DNMT3A	1788	hsa	Luciferase reporter assay//Western blot//qRT-PCR	Functional MTI	17890317
MIRT003028	hsa-miR-29c-3p	hsa	DNMT3A	1788	hsa	Luciferase reporter assay//Western blot//qRT-PCR	Functional MTI	17890317
MIRT002098	hsa-miR-34a-5p	hsa	SIRT1	23411	hsa	Western blot	Functional MTI	18834855
MIRT002018	hsa-miR-24-3p	hsa	DHFR	1719	hsa	real time qRT-PCR//Western blot	Functional MTI	17686970
MIRT001992	hsa-miR-182-5p	hsa	ADCY6	112	hsa	Luciferase reporter assay	Functional MTI	17597072
MIRT001991	hsa-miR-96-5p	hsa	ADCY6	112	hsa	Luciferase reporter assay	Functional MTI	17597072
MIRT000799	hsa-miR-214-3p	hsa	PTEN	5728	hsa	Western blot//qRT-PCR//Luciferase reporter assay	Functional MTI	18199536
MIRT001209	hsa-miR-494-3p	hsa	PTEN	5728	hsa	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	20006626
MIRT001190	hsa-miR-21-5p	hsa	PTEN	5728	hsa	qRT-PCR//Western blot	Functional MTI	19906824
MIRT000631	hsa-miR-155-5p	hsa	INPP5D	3635	hsa	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19890474
MIRT004297	hsa-miR-101-3p	hsa	PTGS2	5743	hsa	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19133256
MIRT001095	hsa-miR-26a-5p	hsa	PTEN	5728	hsa	Western blot	Functional MTI	19487573
MIRT001061	hsa-miR-218-5p	hsa	EBP	10682	hsa	qRT-PCR//Western blot	Non-Functional MTI	17998940
MIRT003238	hsa-miR-205-5p	hsa	INPPL1	3636	hsa	Western blot//Luciferase reporter assay//Northern blot	Functional MTI	19033458
MIRT004354	hsa-miR-184	hsa	INPPL1	3636	hsa	Western blot//Luciferase reporter assay//Northern blot	Non-Functional MTI	19033458
MIRT000955	hsa-miR-148a-3p	hsa	DNMT3B	1789	hsa	GFP reporter assay//Western blot//qRT-PCR	Functional MTI	18367714
MIRT000916	hsa-miR-15a-5p	hsa	UGP2	7360	hsa	Microarray	Functional MTI (Weak)	18362358
MIRT000915	hsa-miR-16-5p	hsa	UGP2	7360	hsa	Microarray	Functional MTI (Weak)	18362358
MIRT004408	hsa-miR-125b-5p	hsa	CYP24A1	1591	hsa	qRT-PCR//Luciferase reporter assay//Western blot//Northern blot	Functional MTI	19570947
MIRT000716	hsa-miR-143-3p	hsa	DNMT3A	1788	hsa	real time qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19638978
