Mature_mirna_id	Target_genes	Database	Pubmed_id
hsa-let-7a-2-3p	ACSM2A	mirtarbase	27418678
hsa-let-7a-2-3p	ACSM2B	mirtarbase	23824327 / 23313552 / 27418678
hsa-let-7a-2-3p	AGPAT5	mirtarbase	23592263
hsa-let-7a-2-3p	CAD	mirtarbase	23592263
hsa-let-7a-2-3p	NDUFS1	mirtarbase	23824327
hsa-let-7a-3p	AASDHPPT	mirtarbase	21572407
hsa-let-7a-3p	ACP1	mirtarbase	21572407
hsa-let-7a-3p	ADH1B	mirtarbase	23446348 / 21572407 / 23824327
hsa-let-7a-3p	ALDH1A3	mirtarbase	23313552
hsa-let-7a-3p	CS	mirtarbase	23622248
hsa-let-7a-3p	MSMO1	mirtarbase	23592263
hsa-let-7a-3p	SGMS1	mirtarbase	26701625
hsa-let-7a-5p	ACAD8	mirtarbase	23622248
hsa-let-7a-5p	ACER2	mirtarbase	24398324
hsa-let-7a-5p	ACP1	mirecords	19939273
hsa-let-7a-5p	ADH5	mirtarbase	23313552 / 26701625 / 27292025
hsa-let-7a-5p	ADSL	mirtarbase	23622248
hsa-let-7a-5p	AHCYL2	mirtarbase	23592263
hsa-let-7a-5p	AK4	mirtarbase	23446348 / 20371350
hsa-let-7a-5p	ALDH7A1	mirtarbase	23622248
hsa-let-7a-5p	AMD1	mirtarbase	23313552
hsa-let-7a-5p	AMPD2	mirtarbase	23622248
hsa-let-7a-5p	AOC2	mirtarbase	23622248
hsa-let-7a-5p	ARG2	mirtarbase	26989813
hsa-let-7a-5p	ATP6V1B2	mirtarbase	23622248
hsa-let-7a-5p	ATP6V1F	mirtarbase	23592263 / 24398324 / 26701625 / 27292025
hsa-let-7a-5p	ATP6V1G1	mirtarbase	22100165 / 22291592 / 23446348
hsa-let-7a-5p	BCAT1	mirtarbase	23622248
hsa-let-7a-5p	COX6B1	mirtarbase	23706177
hsa-let-7a-5p	CS	mirtarbase	23622248
hsa-let-7a-5p	CTPS1	mirtarbase	23313552
hsa-let-7a-5p	CYP2R1	mirtarbase	23622248
hsa-let-7a-5p	DEGS1	mirtarbase	23622248
hsa-let-7a-5p	ECHDC1	mirtarbase	21572407
hsa-let-7a-5p	EZH2	mirtarbase	22972404 / 23622248
hsa-let-7a-5p	FMO4	mirtarbase	23824327
hsa-let-7a-5p	FXN	mirtarbase	23592263
hsa-let-7a-5p	GATM	mirtarbase	26701625
hsa-let-7a-5p	GLO1	mirtarbase	23592263
hsa-let-7a-5p	GLUL	mirtarbase	23622248
hsa-let-7a-5p	IVD	mirtarbase	23622248
hsa-let-7a-5p	KMT2D	mirtarbase	24398324 / 21572407
hsa-let-7a-5p	LTA4H	mirtarbase	23622248
hsa-let-7a-5p	MARS2	mirtarbase	26701625
hsa-let-7a-5p	MT-ATP6	mirtarbase	23622248
hsa-let-7a-5p	MTHFD1	mirtarbase	23622248
hsa-let-7a-5p	NAT8L	mirtarbase	21572407
hsa-let-7a-5p	NDUFS2	mirtarbase	23622248
hsa-let-7a-5p	NEU3	mirtarbase	23622248
hsa-let-7a-5p	NME4	mirtarbase	23622248
hsa-let-7a-5p	NSD1	mirtarbase	24398324
hsa-let-7a-5p	NUDT5	mirtarbase	23622248
hsa-let-7a-5p	PAFAH2	mirtarbase	19536157
hsa-let-7a-5p	PGM2L1	mirtarbase	23592263
hsa-let-7a-5p	PKM	mirtarbase	26745603 / 28415668
hsa-let-7a-5p	PLCG2	mirtarbase	24398324 / 23446348
hsa-let-7a-5p	PLD3	mirtarbase	26701625
hsa-let-7a-5p	PLOD1	mirtarbase	23622248
hsa-let-7a-5p	PTGES2	mirtarbase	23622248
