ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction
EL0044	AABR07005593.1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	N/A	N/A	N/A	PM2.5	N/A	knockdown, Western blot	PM2.5-treated NR8383 cells	N/A	up-regulated	interaction	MCCC1	Regulate	down-regulated	lncRNA-Protein	binding	AABR07005593.1|bind|MCCC1|promote| potentiates PM(2.5)-induced interleukin-6 expression	34619471	2021	lncRNA AABR07005593.1 potentiates PM(2.5)-induced interleukin-6 expression by targeting MCCC1.
EL0060	ABHD11-AS1	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Promote disease	epithelial ovarian cancer	Cancer	N/A	N/A	Immunohistochemistry, western blot, qRT-PCR, chIP, RIP, knockdown	EOC tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	ABHD11-AS1丨silence丨TIMP2丨by丨binding to丨chromatin-modifying enzyme EZH2	31568657	2019	lncRNA ABHD11-AS1, regulated by the EGFR pathway, contributes to the ovarian cancer tumorigenesis by epigenetically suppressing TIMP2.
EL0118	AC020978	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Disease treatment	non-small cell lung cancer	Cancer	N/A	N/A	knockdown, Western blot	non-small cell lung cancer cells	N/A	up-regulated	interaction	MDH2	Regulate	up-regulated	lncRNA-Protein	binding	AC020978|bind|MDH2|activate| the AKT pathway|promote| non-small cell lung cancer progression	34424600	2021	LncRNA AC020978 facilitates non-small cell lung cancer progression by interacting with malate dehydrogenase 2 and activating the AKT pathway.
EL0119	AC021078.1	Homo sapiens	Disease-relevant functions	Cytoplasm	Recruiting protein complexes	Inhibit disease	prostate cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	22Rv1 and DU145 cell lines	N/A	down-regulated	interaction	PTEN	Regulate	down-regulated	lncRNA-Protein	binding	TUG1 and CTB-89H12.4|bind| PTEN |inhibit| prostate cancer	26975529	2016	The tumour-suppressive function of two lncRNAs (TUG1 and CTB-89H12.4) and their regulation of PTEN expression in prostate cancer.
EL0145	AC069294.1	Homo sapiens	Metabolic	N/A	mRNA translation regulation	Disease treatment	N/A	N/A	N/A	rs2242480	knockdown, Overexpression	Huh7 cells	N/A	up-regulated	interaction	CYP3A4	Regulate	down-regulated	lncRNA-Protein	regulation	AC069294.1|downregulate|CYP3A4|promote|drug-metabolizing	34320606	2022	Knockdown of AC069294.1 in Huh7 cells increased CYP3A4 mRNA ~3-fold, whereas overexpression of AC069294.1 decreased CYP3A4 mRNA by 89%., when AC069294.1 was knocked down or overexpressed, indicating dual effects of AC069294.1 on both CYP3A4 and CYP3A5 expression.
EL0145	AC069294.1	Homo sapiens	Metabolic	N/A	mRNA translation regulation	Disease treatment	N/A	N/A	N/A	rs2242480	knockdown	Huh7 cells	N/A	up-regulated	interaction	CYP3A5	Regulate	down-regulated	lncRNA-Protein	regulation	AC069294.1|downregulate|CYP3A5|promote|drug-metabolizing	34320606	2022	Knockdown of AC069294.1 in Huh7 cells increased CYP3A4 mRNA ~3-fold, whereas overexpression of AC069294.1 decreased CYP3A4 mRNA by 89%., when AC069294.1 was knocked down or overexpressed, indicating dual effects of AC069294.1 on both CYP3A4 and CYP3A5 expression.
EL0207	ACTA2-AS1	Homo sapiens	Apoptosis	N/A	Recruiting protein complexes	Disease treatment	non-small cell lung cancer	Cancer	DDP	N/A	qRT-PCR, Western blot, RIP, RNA Pull-down	cisplatin-resistant NSCLC cell lines	N/A	down-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	binding	ACTA2-AS1|bind|EZH2|downregulate|TSC2|inhibit|cisplatin resistance of non-small cell lung cancer cells	34985374	2022	Long non-coding RNA ACTA2-AS1 inhibits the cisplatin resistance of non-small cell lung cancer cells through inhibiting autophagy by suppressing TSC2.
EL0208	ACTG1P25	Homo sapiens	Disease-relevant functions	nucleus and cytoplasm	Recruiting protein complexes	Therapeutic target	esophageal squamous cell carcinoma	Cancer	N/A	N/A	Knockdown, qRT-PCR, western blot, RNA pull-down, RIP,  FISH,  ChIP, IP, Luciferase reporter assays	Het-1A, NE-1, and HCT-116 cells, KYSE30, KYSE510, KYSE150, KYSE520, KYSE70, and KYSE180 cells, TE-1, TE-9, and TE-15 cells, female BALB/c nu/nu mice	N/A	up-regulated	interaction	PFKFB3	Regulate	up-regulated	lncRNA-Protein	binding	AGPG丨bind 丨PFKFB3|promote|ESCC	32198345	2020	AGPG is directly associated with PFKFB3.
EL0211	ADAMTS9-AS2	Homo sapiens	Cell proliferation	N/A	Transcription regulation	Disease treatment	hepatocellular carcinoma	Cancer	Melittin	N/A	qRT-PCR, Western blot	HCC cells	N/A	down-regulated	interaction	DNMT1	Regulate	up-regulated	lncRNA-Protein	regulation	ADAMTS9-AS2|downregulate|DNMT1|inhibit|HCC.	36535531	2023	MEL treatment inhibited the expression of DNA methyltransferase protein-1 (DNMT1), which acted as the role of demethylation, and then up-regulated the expression of ADAMTS9-AS2, affecting the development of HCC.
EL0235	AFAP1-AS1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Prognosis	non-small cell lung cancer	Cancer	N/A	N/A	qRT-PCR, RIP, ChIP	NSCLC tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	AFAP1-AS1丨bind丨EZH2丨 downregulate丨p21 expression|promote|NSCLC	29793547	2018	LncRNA AFAP1-AS1 may serve as a candidate prognostic biomarker and target for new therapies in human NSCLC
