ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction	Matches
EL0004	1500026H17Rik	Homo sapiens	Disease-relevant functions	Cytoplasm	Sponging miRNAs	Promote disease	diabetic nephropathy	Others	high glucose	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	DN mice model	N/A	up-regulated	interaction	miR-205-5p	Regulate	down-regulated	lncRNA-miRNA	binding	1500026H17Rik|bind|miR-205-5p|upregulate|EGR1|promote|high glucose-induced podocyte injuries	36306049	2023	LncRNA 1500026H17Rik knockdown ameliorates high glucose-induced mouse podocyte injuries through the miR-205-5p/EGR1 pathway.	
EL0007	1700020I14Rik	Homo sapiens	hepatocyte damage and inflammation	Cytoplasm	Sponging miRNAs	Promote disease	alcoholic hepatitis	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	an ethanol-induced hepatocyte injury model, AH mouse model	N/A	up-regulated	interaction	miR-137	Regulate	down-regulated	lncRNA-miRNA	binding	1700020I14Rik|bind|miR-137|activate|AKR1B10/Erk signaling|promote|Alcoholic hepatitis	36028503	2022	1700020I14Rik promotes AKR1B10 expression and activates Erk pathway to induce hepatocyte damage in alcoholic hepatitis	
EL0024	4930556M19Rik	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Inhibit disease	diabetic nephropathy	Others	HG	N/A	qRT-PCR, western blot, Luciferase reporter assays, overexpression, knockdown, ELISA, RIP, RNA pulldown	A DN cell model w	N/A	down-regulated	interaction	miR-27a-3p	Regulate	up-regulated	lncRNA-miRNA	binding	4930556M19Rik | bind | miR-27a-3p | upregulate | TIMP3 | inhibit |HG-induced podocyte injury	32896839	2020	4930556M19Rik overexpression slowed HG-induced podocyte injury by downregulating miR-27a-3p and upregulating TIMP3.	
EL0028	4933431K23Rik	Homo sapiens	Disease-relevant functions	Exosome	Sponging miRNAs	Therapeutic target	neuroinflammation	Others	asiaticoside	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	Astrocyte-microglial	N/A	down-regulated	interaction	miR-10a-5p	Regulate	up-regulated	lncRNA-miRNA	binding	4933431K23Rik|bind|miR-10a-5p|upregulate|E2F10/TFAP5C|upregulate|SMAD7|inihibit|neuroinflammation	36739479	2023	Astrocyte-derived exosomal lncRNA 4933431K23Rik modulates microglial phenotype and improves post-traumatic recovery via SMAD7 regulation.	
EL0038	A1BG-AS1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	Therapeutic target	hepatocellular carcinoma	Cancer	N/A	N/A	knockdown	HCCLM3 cells	N/A	down-regulated	interaction	miR-216a-5p	Regulate	up-regulated	lncRNA-miRNA	binding	A1BG-AS1丨bind丨miR-216a-5p丨inhibit丨HCC	30556161	2019	LncRNA A1BG-AS1 suppresses proliferation and invasion of hepatocellular carcinoma cells by targeting miR-216a-5p.	
EL0038	A1BG-AS1	Homo sapiens	Disease-relevant functions	Nucleus	Sponging miRNAs	Disease treatment	breast cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression,  luciferase reporter assay, RIP, rescue experiments	breast cancer tissues and cell lines	N/A	up-regulated	interaction	miR-485-5p	Regulate	down-regulated	lncRNA-miRNA	binding	A1BG-AS1|bind|miR-485-5p|upregulate|FLOT1|promote|breast cancer	34115333	2021	A1BG-AS1 promotes tumorigenesis in breast cancer by sponging microRNA-485-5p and consequently increasing expression of FLOT1 expression.	
EL0039	A2M-AS1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	Therapeutic target	myocardial ischemia/reperfusion injury	Others	N/A	N/A	qRT-PCR, Dual-luciferase reporter assays, RIP, RNA Pull-down	human cardiomyocytes	N/A	down-regulated	interaction	miR-556-5p	Regulate	up-regulated	lncRNA-miRNA	binding	Lnc A2M-AS1|bind|miR-556-5p|upregulate|XIAP|inhibit|H/R-induced cardiomyocyte apoptosis	35543792	2022	Lnc A2M-AS1 delivery via MSC-derived exosomes ameliorated H/R-induced cardiomyocyte apoptosis and oxidative stress via regulating miR-556-5p/XIAP	
EL0045	AABR07017145.1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Therapeutic target	cardiac hypertrophy	Others	N/A	N/A	knockdown	cardiac microvascular endothelial cells	N/A	up-regulated	interaction	miR-30b-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AABR07017145.1|bind|miR-30b-5p|promote|cardiac hypertrophy	34938604	2021	Neutrophil-like cell membrane-coated siRNA of lncRNA AABR07017145.1 therapy for cardiac hypertrophy via inhibiting ferroptosis of CMECs.	
EL0049	AATBC	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Metastasis 	nasopharyngeal carcinoma	Cancer	N/A	N/A	overexpression, qRT-PCR, western blot	NPC cells	N/A	up-regulated	interaction	miR-1237-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AATBC丨bind| miR-1237-3p丨upregulate丨 expression of PNN丨promote丨nasopharyngeal carcinoma	32364663	2020	LncRNA AATBC regulates Pinin to promote metastasis in nasopharyngeal carcinoma.	
EL0049	AATBC	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	Therapeutic target	prostate cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, RIP, RNA Pull-down	PCa cells	N/A	up-regulated	interaction	miR-1245b-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AATBC|bind|miR-1245b-5p|upregulate|CASK|Promote|Prostate Cancer	34234553	2021	Long Noncoding RNA AATBC Promotes the Proliferation and Migration of Prostate Cancer Cell Through miR-1245b-5p/CASK Axis.	
EL0049	AATBC	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Promote disease	cervical cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	cervical cancer cells	N/A	up-regulated	interaction	miR-1245b-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AATBC|bind|miR-1245b-5p|promote|cervical cancer	36420764	2023	AATBC served as a tumor promoter of cervical cancer by modulating miR-1245b-5p	
EL0060	ABHD11-AS1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	pancreatic cancer	Cancer	N/A	N/A	knockdown, qRT-PCR, Western blot, dual-luciferase report, RNA pull-down	pancreatic cancer cells, xenograft mice model ,	N/A	up-regulated	interaction	miR-1231	Regulate	down-regulated	lncRNA-miRNA	binding	ABHD11-AS1|bind|miR-1231|promote|the Tumorigenesis of Pancreatic Cancer	33177842	2020	Knockdown of lncRNA ABHD11-AS1 Suppresses the Tumorigenesis of Pancreatic Cancer via Sponging miR-1231.	
EL0060	ABHD11-AS1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	colorectal cancer	Cancer	N/A	N/A	knockdown, overexpression, rescue assays	CRC tissues and cell lines	N/A	up-regulated	interaction	miR-1254	Regulate	N/A	lncRNA-RNA	binding	ABHD11-AS1丨act as丨a molecular sponge of miR-1254丨target丨WNT11	30537177	2019	Long noncoding RNA ABHD11-AS1 promote cells proliferation and invasion of colorectal cancer via regulating the miR-1254-WNT11 pathway.	
EL0060	ABHD11-AS1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	cervical carcinoma	Cancer	N/A	N/A	qRT-PCR, Western blot	carcinoma tissues	N/A	up-regulated	interaction	miR-1254	Regulate	down-regulated	lncRNA-miRNA	binding	ABHD11-AS1|bind|miR-1254	35186240	2022	LncRNA ABHD11-AS1 Participates in the Progression of Cervical Carcinoma by Targeting miR-1254 and Is the Key to the Diagnosis and Treatment of Cervical Carcinoma in the Future.	
EL0060	ABHD11-AS1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Promote disease	papillary thyroid carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, Rescue assays	PTC tissues and cell lines	N/A	up-regulated	interaction	miR-1301-3p	Regulate	N/A	lncRNA-Protein	binding	ABHD11-AS1丨positively丨regulated丨PI3K/AKT signalling pathway	30657221	2019	STAT3-induced lncRNA ABHD11-AS1 promoted PTC progression by regulating PI3K/AKT signalling pathway and miR-1301-3p/STAT3 axis.	
EL0060	ABHD11-AS1	Homo sapiens	Apoptosis , Cell proliferation	N/A	Gene regulation	Therapeutic target	ovarian cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, mimics	ovarian cancer cells	N/A	up-regulated	interaction	miR-133a-3p	Regulate	down-regulated	lncRNA-miRNA	binding	ABHD11-AS1|bind|miR-133a-3p|promote| promoter regulates the progression of ovarian cancer	33491971	2021	EZH2-mediated lncRNA ABHD11-AS1 promoter regulates the progression of ovarian cancer by targeting miR-133a-3p	
EL0060	ABHD11-AS1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Promote disease	papillary thyroid cancer	Cancer	N/A	N/A	qRT-PCR	PTC tissues and adjacent normal tissues, PTC cell lines (TPC-1 and K-1) , a normal thyroid follicular epithelium cell line (Nthy-ori3-1)	N/A	up-regulated	interaction	miR-199a-5p	Regulate	N/A	lncRNA-RNA	binding	ABHD11-AS1丨enhanced丨the abilities丨of丨cell proliferation丨migration丨and丨 invasion丨inhibited丨apoptosis丨in vitro丨promoted丨tumorigenesis丨in vivo丨via丨 sponging丨miR-199a-5p丨then丨induced丨SLC1A5 activation	31409775	2019	Long noncoding RNA ABHD11-AS1 functions as a competing endogenous RNA to regulate papillary thyroid cancer progression by miR-199a-5p/SLC1A5 axis.	
