KEGG_ID	Metabolism	Pathways	Genes	Genes_name	Isoforms
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	AACS	acetoacetyl-CoA	acetoacetyl-CoA synthetase
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	AADAT	aminoadipate	aminoadipate aminotransferase
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	AANAT	aralkylamine	aralkylamine N-acetyltransferase
hsa00770	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis - Homo sapiens (human)	AASDHPPT	aminoadipate-semialdehyde	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	AASS	aminoadipate-semialdehyde	aminoadipate-semialdehyde synthase
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ABAT	4-aminobutyrate	4-aminobutyrate aminotransferase
hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	ABHD14A-ACY1	ABHD14A-ACY1	ABHD14A-ACY1 readthrough
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	ABHD16A	abhydrolase	abhydrolase domain containing 16A, phospholipase
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	ACAA1	acetyl-CoA	acetyl-CoA acyltransferase 1
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ACAA2	acetyl-CoA	acetyl-CoA acyltransferase 2
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ACACA	acetyl-CoA	acetyl-CoA carboxylase alpha
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ACACB	acetyl-CoA	acetyl-CoA carboxylase beta
hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	ACAD8	acyl-CoA	acyl-CoA dehydrogenase family member 8
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	ACADL	acyl-CoA	acyl-CoA dehydrogenase long chain
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	ACADM	acyl-CoA	acyl-CoA dehydrogenase medium chain
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ACADS	acyl-CoA	acyl-CoA dehydrogenase short chain
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	ACADSB	acyl-CoA	acyl-CoA dehydrogenase short/branched chain
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	ACADVL	acyl-CoA	acyl-CoA dehydrogenase very long chain
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ACAT1	acetyl-CoA	acetyl-CoA acetyltransferase 1
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ACAT2	acetyl-CoA	acetyl-CoA acetyltransferase 2
