genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var
AIRN	KIRP	-0.296786579009699	8.83787106787988e-06	5.05365233847374	Unchanged	ns	0.22	0.657577319177794	CNV	MSI
APOC1P1	THCA	0.142971826355462	0.0379518468974476	1.42076708464721	Overexpression	****	2e-51	50.698970004336	CNV	MSI
ARFRP1	COAD	-0.383123718203186	2.57372229859168e-07	6.58943831473371	Overexpression	****	1.3e-05	4.88605664769316	CNV	MSI
ARFRP1	PAAD	0.257791012896515	0.0180684529635006	1.74307903051473	Overexpression	****	2.8e-51	50.5528419686578	CNV	MSI
ARFRP1	STAD	-0.310415221666891	3.81950974826431e-06	5.41799237721583	Unchanged	ns	0.052	1.2839966563652	CNV	MSI
ATXN8OS	KIRP	-0.204131045107447	0.0224780063887976	1.64824220968386	Unchanged	ns	0.49	0.309803919971486	CNV	MSI
ATXN8OS	COAD	-0.226142627579258	0.0129362819749166	1.88819052658839	Underexpression	****	2.1e-22	21.6777807052661	CNV	MSI
BCAR4	PAAD	-0.325838574820589	0.000475180989012322	3.32314094288419	Underexpression	*	0.024	1.61978875828839	CNV	MSI
BCYRN1	THCA	-0.139670815596401	0.00636447548880882	2.19623738175144	Underexpression	****	1.7e-25	24.7695510786217	CNV	MSI
BCYRN1	LIHC	-0.189956977595749	8.69136603479518e-06	5.06091195948352	Overexpression	****	7.3e-17	16.1366771398795	CNV	MSI
BCYRN1	PRAD	-0.227511608563933	0.0444255134804365	1.35236754381683	Unchanged	ns	0.92	0.0362121726544447	CNV	MSI
C1QTNF1	LUAD	0.178030710587536	0.00227907814044596	2.64224078434893	Underexpression	****	4.9e-93	92.3098039199715	CNV	MSI
CAHM	KIRP	-0.274165830468488	6.81274499810678e-05	4.1666778664529	Underexpression	*	0.03	1.52287874528034	CNV	MSI
CALB2	PAAD	-0.24925600936624	0.0296308483996628	1.52825591348731	Overexpression	****	1.3e-50	49.8860566476932	CNV	MSI
CASC2	GBM	0.373851970760155	7.70447124809439e-05	4.1132571612174	Underexpression	*	0.028	1.55284196865778	CNV	MSI
CES1P1	PAAD	-0.238125011925943	0.0470212713712218	1.32770563250497	Overexpression	****	2.3e-16	15.6382721639824	CNV	MSI
CES1P1	PRAD	-0.148561903563163	0.0229036655033543	1.6400950075951	Underexpression	****	6.4e-14	13.1938200260161	CNV	MSI
CIR1	THCA	-0.142971826355462	0.0441817985940217	1.35475660843834	Overexpression	****	3.2e-06	5.49485002168009	CNV	MSI
CIR1	LIHC	-0.162288816433024	0.0379518468974476	1.42076708464721	Overexpression	****	1.6e-33	32.7958800173441	CNV	MSI
CRNDE	PAAD	-0.238125011925943	0.0470212713712218	1.32770563250497	Overexpression	****	5.2e-39	38.2839966563652	CNV	MSI
CRNDE	PRAD	-0.142542428629713	0.0366717881581676	1.43566791282939	Overexpression	****	7.6e-15	14.1191864077192	CNV	MSI
CXCL1	KIRP	-0.251236527601282	0.000451796709904375	3.3450569360442	Overexpression	****	2.5e-06	5.60205999132796	CNV	MSI
DANCR	KIRP	-0.252045224056847	0.000405461247822131	3.39205064739918	Underexpression	****	1.5e-17	16.8239087409443	CNV	MSI
DGCR5	KIRP	-0.264276456063961	0.000157416862969834	3.80294874654826	Overexpression	****	1.7e-19	18.7695510786217	CNV	MSI
DIO3OS	KIRP	-0.255339509996278	0.000326212257222329	3.48649972464458	Underexpression	****	5e-26	25.301029995664	CNV	MSI
DLEU1	KIRP	-0.191383032538189	0.00524043817315149	2.28063239846935	Overexpression	**	0.0029	2.53760200210104	CNV	MSI
DLEU1	COAD	-0.252931117055087	0.0272819104149142	1.56412522149337	Overexpression	****	3.7e-92	91.431798275933	CNV	MSI
DLEU2	KIRP	-0.191383032538189	0.00524043817315149	2.28063239846935	Unchanged	ns	0.18	0.744727494896694	CNV	MSI
DLEU2	COAD	-0.252931117055087	0.0272819104149142	1.56412522149337	Overexpression	****	5.4e-48	47.267606240177	CNV	MSI
DLEU2L	KIRP	-0.283603528994617	0.00113723181249659	2.94415100002057	Unchanged	ns	0.65	0.187086643357144	CNV	MSI
DLEU2L	KIRC	-0.208819316889272	2.96950637545936e-05	4.52731573796606	Overexpression	****	9.5e-07	6.02227639471115	CNV	MSI
DLEU2L	PCPG	-0.269597387721697	0.0128856199016139	1.88989468356443	Unchanged	ns	0.48	0.318758762624413	CNV	MSI
DNM3OS	BLCA	0.164607256978418	0.0391075858996414	1.40773899209756	Underexpression	****	5.3e-12	11.2757241303992	CNV	MSI
DPY19L2P2	COAD	-0.240956244777536	0.0104634549894101	1.98032488955269	Underexpression	****	1.2e-36	35.9208187539524	CNV	MSI
EGFEM1P	KIRC	0.173835959735112	0.0180511163547601	1.74349593438325	Underexpression	***	0.00098	3.00877392430751	CNV	MSI
FABP5P3	COAD	-0.242810731978392	0.00942169295090706	2.02587105334546	Underexpression	****	2.3e-10	9.63827216398241	CNV	MSI
FAM138B	THCA	-0.139670815596401	0.0486565147642876	1.31285900253316	Underexpression	****	3.6e-46	45.4436974992327	CNV	MSI
FAM201A	KIRP	-0.248495992056304	0.000559867068356029	3.25191507715919	Overexpression	**	0.0048	2.31875876262441	CNV	MSI
FAM201A	THCA	-0.144249298308753	0.0329276541943962	1.48243920784618	Underexpression	****	4e-47	46.397940008672	CNV	MSI
FAM225A	KIRP	-0.302155596695093	5.3003477864322e-06	5.27569563289489	Overexpression	****	1.2e-05	4.92081875395237	CNV	MSI
FAM225B	KIRP	-0.302155596695093	5.3003477864322e-06	5.27569563289489	Unchanged	ns	0.85	0.0705810742857073	CNV	MSI
FAM230B	KIRP	-0.264276456063961	0.000157416862969834	3.80294874654826	Underexpression	*	0.018	1.74472749489669	CNV	MSI
FAM99A	PAAD	-0.248807510999824	0.030254764328094	1.51920622568997	Underexpression	****	2.6e-30	29.5850266520292	CNV	MSI
FER1L4	COAD	-0.354058327689319	3.56591905007707e-06	5.44782851996714	Unchanged	ns	0.41	0.387216143280265	CNV	MSI
FER1L4	PAAD	0.280491175021096	0.0462945322803185	1.33447029927815	Overexpression	****	1.6e-45	44.7958800173441	CNV	MSI
