genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var
hsa-let-7a-2-3p	HNSC	0.168970805668014	0.00188781102944797	2.72404148089357	Unchanged	ns	0.44	0.356547323513813	miRNA expression	MSI
hsa-let-7a-2-3p	LUSC	-0.172021085801862	0.0142258139355324	1.84692287589263	Overexpression	**	0.0073	2.13667713987954	miRNA expression	MSI
hsa-let-7a-2-3p	PAAD	-0.399285440763677	1.66112656984783e-06	5.77959727513906	Unchanged	ns	0.45	0.346787486224656	miRNA expression	MSI
hsa-let-7a-3p	KIRP	-0.185791257108335	0.0206666562220254	1.68472978470776	Underexpression	****	1.2e-08	7.92081875395237	miRNA expression	MSI
hsa-let-7a-3p	OV	0.194573639569409	0.0138675789104513	1.8579993541835					miRNA expression	MSI
hsa-let-7a-3p	STAD	0.216661847337749	0.00308973111536896	2.51007931351775	Unchanged	ns	0.17	0.769551078621726	miRNA expression	MSI
hsa-let-7a-5p	LUAD	-0.160010905555767	0.00876070044596484	2.05746116921363	Underexpression	****	5.6e-11	10.2518119729938	miRNA expression	MSI
hsa-let-7b-3p	KIRP	-0.17528267403537	0.000258480521527265	3.58757217872848	Underexpression	****	1.6e-06	5.79588001734407	miRNA expression	MSI
hsa-let-7b-3p	STAD	0.183959808159441	0.0376881998009161	1.42379460638696	Overexpression	*	0.024	1.61978875828839	miRNA expression	MSI
hsa-let-7b-3p	KIRC	-0.209833323107477	7.66164454641814e-05	4.11567800050095	Overexpression	****	3.2e-07	6.49485002168009	miRNA expression	MSI
hsa-let-7b-3p	PCPG	-0.340693155179788	0.0254799068122641	1.59380216468023	Underexpression	**	0.0032	2.49485002168009	miRNA expression	MSI
hsa-let-7b-5p	PAAD	-0.326360895112356	0.0228536281657244	1.64104484297833	Unchanged	ns	0.41	0.387216143280265	miRNA expression	MSI
