genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
AACS	BLCA	-0.267117341120755	8.3968839364478e-07	6.07588184968528	Overexpression	****	7.2e-05	4.14266750356873	Methylation	Stemness	0.607	NS	0.538	NS	0.0745	NS	0.509	NS
AACS	BRCA	-0.239174008190359	4.97013706715152e-11	10.3036316340661	Unchanged	ns	0.12	0.920818753952375	Methylation	Stemness	0.000331	Protective	6.24e-06	Protective	0.000107	Protective	1.4e-06	Protective
AACS	CESC	-0.241376120480877	0.000492296685648021	3.30777308807372	Overexpression	**	0.0035	2.45593195564972	Methylation	Stemness	0.453	NS	0.763	NS	0.395	NS	0.846	NS
AACS	ESCA	-0.303804537140825	0.00054030713033178	3.26735930112023	Overexpression	****	6.5e-09	8.18708664335714	Methylation	Stemness	0.725	NS	0.587	NS	0.375	NS	0.746	NS
AACS	GBM	-0.390102976609606	0.0376832628802421	1.42385149999982	Unchanged	ns	0.36	0.443697499232713	Methylation	MSI	0.837	NS	0.989	NS			0.551	NS
AACS	GBM	-0.751538465162183	9.8386268340515e-11	10.0070655113256	Unchanged	ns	0.36	0.443697499232713	Methylation	TMB	0.837	NS	0.989	NS			0.551	NS
AACS	HNSC	-0.21726451468714	1.03671882840633e-05	4.98433901393804	Unchanged	ns	0.075	1.1249387366083	Methylation	Stemness	0.34	NS	0.487	NS	0.505	NS	0.375	NS
AACS	LGG	0.145831476496919	0.0176865289413548	1.75235739091895	Unchanged	ns	0.39	0.408935392973501	Methylation	Stemness	9.54e-12	Protective	2.49e-11	Protective	0.678	NS	5.77e-12	Protective
AACS	LIHC	-0.331245831502851	2.00418538577127e-10	9.69806210900553	Overexpression	****	7.2e-25	24.1426675035687	Methylation	Stemness	0.943	NS	0.451	NS	0.0369	Protective	0.0379	Protective
AACS	LUAD	-0.250502958357541	1.03994761311509e-06	5.98298853753591	Overexpression	****	2.1e-31	30.6777807052661	Methylation	Stemness	0.753	NS	0.944	NS	0.947	NS	0.65	NS
AACS	PAAD	-0.436307066109515	6.9783224699414e-08	7.15624896557288	Overexpression	****	6.5e-45	44.1870866433571	Methylation	MSI	0.153	NS	0.0568	NS	0.303	NS	0.0568	NS
AACS	PAAD	-0.399198129511116	4.20763582387349e-06	5.37596185595661	Overexpression	****	6.5e-45	44.1870866433571	Methylation	Stemness	0.153	NS	0.0568	NS	0.303	NS	0.0568	NS
AACS	PCPG	-0.282167277980658	0.00297782120812908	2.52610138135011	Unchanged	ns	0.98	0.00877392430750515	Methylation	MSI	0.0965	NS	0.0144	Risky	0.87	NS	0.258	NS
AACS	PCPG	-0.237132673508858	0.0418643729889131	1.37815540892229	Unchanged	ns	0.98	0.00877392430750515	Methylation	TMB	0.0965	NS	0.0144	Risky	0.87	NS	0.258	NS
AACS	PCPG	-0.301765504396193	0.000722685134536891	3.14105087852538	Unchanged	ns	0.98	0.00877392430750515	Methylation	Stemness	0.0965	NS	0.0144	Risky	0.87	NS	0.258	NS
AACS	SKCM	-0.168280776255334	0.00544799112727392	2.26376360839687	Underexpression	****	3e-114	113.52287874528	Methylation	Stemness	0.173	NS	0.445	NS			0.897	NS
AACS	STAD	-0.264026566688288	0.000913510833683822	3.03928629781204	Overexpression	****	9.5e-09	8.02227639471115	Methylation	MSI	0.762	NS	0.673	NS	0.583	NS	0.375	NS
AACS	STAD	-0.278465761912915	2.47397999187381e-06	5.60660381701649	Overexpression	****	9.5e-09	8.02227639471115	Methylation	Stemness	0.762	NS	0.673	NS	0.583	NS	0.375	NS
AACS	TGCT	-0.419170498109319	2.01182383051505e-06	5.69641005183925	Underexpression	****	4.6e-07	6.33724216831843	Methylation	Stemness	0.542	NS	0.656	NS	0.211	NS	0.192	NS
