genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
AACS	ACC	0.429472568027218	0.00116551255380603	2.93348304430615	Overexpression	****	9.1e-08	7.04095860767891	Mutation	MSI	0.998	NS	0.998	NS			0.152	NS
AACS	ACC	0.778155791710345	1.99478407633334e-15	14.7001041072615	Overexpression	****	9.1e-08	7.04095860767891	Mutation	TMB	0.998	NS	0.998	NS			0.152	NS
AACS	CESC	0.22638616675283	0.00123694165295871	2.90765078573523	Overexpression	**	0.0035	2.45593195564972	Mutation	MSI	0.996	NS	0.997	NS	0.997	NS	0.995	NS
AACS	COAD	0.432610028394082	7.32689993082927e-12	11.135079739918	Overexpression	****	3.6e-38	37.4436974992327	Mutation	TMB	0.973	NS	0.315	NS	0.998	NS	0.988	NS
AACS	ESCA	0.543395617915436	5.01291556110852e-14	13.2999096106978	Overexpression	****	6.5e-09	8.18708664335714	Mutation	MSI	0.996	NS	0.997	NS	0.997	NS	0.918	NS
AACS	ESCA	0.380525224948547	2.61607871478922e-06	5.58234919273145	Overexpression	****	6.5e-09	8.18708664335714	Mutation	TMB	0.996	NS	0.997	NS	0.997	NS	0.918	NS
AACS	HNSC	0.240179104441832	7.62120974783921e-07	6.11797608573253	Unchanged	ns	0.075	1.1249387366083	Mutation	TMB	0.66	NS	0.994	NS	0.998	NS	0.992	NS
AACS	LGG	0.468758499140237	1.21616914514759e-27	26.9150060190636	Unchanged	ns	0.39	0.408935392973501	Mutation	MSI	0.994	NS	0.994	NS	0.998	NS	0.786	NS
AACS	LGG	0.705572253106159	1.31571697641697e-75	74.880837521664	Unchanged	ns	0.39	0.408935392973501	Mutation	TMB	0.994	NS	0.994	NS	0.998	NS	0.786	NS
AACS	SKCM	0.317257842795949	3.49456344514315e-11	10.4566070703353	Underexpression	****	3e-114	113.52287874528	Mutation	TMB	0.682	NS	0.852	NS			0.885	NS
AACS	STAD	0.228630398561664	2.84415452598595e-05	4.54604681161319	Overexpression	****	9.5e-09	8.02227639471115	Mutation	TMB	0.369	NS	0.274	NS	0.0183	Risky	0.383	NS
AACS	UCEC	0.505070000459725	3.26366190392378e-11	10.4862948379284	Overexpression	****	8.5e-09	8.07058107428571	Mutation	TMB	0.677	NS	0.947	NS	0.998	NS	0.501	NS
AADAT	BRCA	0.119849222279834	0.0190243747033705	1.72068960879332	Underexpression	****	1.4e-34	33.8538719643218	Mutation	MSI	0.996	NS	0.996	NS	0.996	NS	0.995	NS
AADAT	BRCA	0.475410260676422	9.24540039887663e-18	17.0340742757155	Underexpression	****	1.4e-34	33.8538719643218	Mutation	TMB	0.996	NS	0.996	NS	0.996	NS	0.995	NS
AADAT	SKCM	0.393004323366975	5.51121571548015e-44	43.2587525898438	Unchanged	ns	0.19	0.721246399047171	Mutation	TMB	0.66	NS	0.84	NS			0.657	NS
AADAT	STAD	0.459980980426869	1.4686622690871e-17	16.8330780623003	Unchanged	ns	0.87	0.0604807473813815	Mutation	TMB	0.43	NS	0.994	NS	0.997	NS	0.993	NS
AADAT	UCEC	0.612216130829031	1.16372198474624e-21	20.9341507610195	Underexpression	****	7.8e-21	20.1079053973095	Mutation	TMB	0.996	NS	0.997	NS	0.956	NS	0.386	NS
AANAT	COAD	0.201621497469467	2.10463234467996e-20	19.6768237595063	Underexpression	****	5.3e-07	6.27572413039921	Mutation	MSI	0.196	NS	0.294	NS	0.164	NS	0.074	NS
AANAT	GBM	0.995984191856924	0.000336976604844665	3.47240024969115	Unchanged	ns	0.058	1.23657200643706	Mutation	TMB	0.994	NS	0.995	NS			0.994	NS
AANAT	LGG	0.406554777328954	0.0306440334485484	1.51365407229137	Unchanged	ns	0.7	0.154901959985743	Mutation	MSI	0.994	NS	0.994	NS			0.876	NS
AANAT	LGG	0.576159600621075	6.87554264834102e-155	154.162693019697	Unchanged	ns	0.7	0.154901959985743	Mutation	TMB	0.994	NS	0.994	NS			0.876	NS
AANAT	LUAD	0.18290759929533	4.30723012614408e-05	4.36580192418711	Underexpression	****	1.6e-25	24.7958800173441	Mutation	TMB	0.993	NS	0.996	NS	0.995	NS	0.994	NS
