genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
AACS	ACC	0.509118699470872	7.14896261347855e-05	4.14575697413299	Overexpression	****	9.1e-08	7.04095860767891	Gene expression	Stemness	0.00228	Risky	0.00154	Risky	0.0218	Risky	7.67e-06	Risky
AACS	BLCA	0.29667991038501	1.41862213796236e-08	7.84813326715781	Overexpression	****	7.2e-05	4.14266750356873	Gene expression	Stemness	0.0233	Risky	0.0183	Risky	0.206	NS	0.00296	Risky
AACS	ESCA	0.261903971734446	0.00681298976679302	2.16666226337657	Overexpression	****	6.5e-09	8.18708664335714	Gene expression	Stemness	0.586	NS	0.232	NS	0.948	NS	0.39	NS
AACS	LGG	0.358561178009553	9.55198454894821e-16	15.0199063887181	Unchanged	ns	0.39	0.408935392973501	Gene expression	Stemness	0.192	NS	0.389	NS	0.488	NS	0.914	NS
AACS	LIHC	0.160049024650475	0.024597429996019	1.60911026675247	Overexpression	****	7.2e-25	24.1426675035687	Gene expression	Stemness	0.000475	Risky	0.00836	Risky	0.0162	Risky	0.00546	Risky
AACS	LUAD	0.187366239157155	0.000301543799900551	3.52064959671271	Overexpression	****	2.1e-31	30.6777807052661	Gene expression	MSI	0.0721	NS	0.126	NS	0.103	NS	0.136	NS
AACS	LUAD	0.370651960650646	2.35321355261907e-18	17.6283386590902	Overexpression	****	2.1e-31	30.6777807052661	Gene expression	Stemness	0.0721	NS	0.126	NS	0.103	NS	0.136	NS
AACS	LUSC	0.306916125676868	1.32230422523915e-11	10.8786686143341	Overexpression	****	1.5e-56	55.8239087409443	Gene expression	Stemness	0.746	NS	0.906	NS	0.0604	NS	0.506	NS
AACS	PAAD	0.305536401352781	0.00111895007590954	2.95118928991551	Overexpression	****	6.5e-45	44.1870866433571	Gene expression	MSI	0.141	NS	0.393	NS	0.0525	NS	0.0158	Protective
AACS	PCPG	0.230644967263028	0.0359343416055367	1.44449030794378	Unchanged	ns	0.98	0.00877392430750515	Gene expression	Stemness	0.0616	NS	0.0173	Risky	0.776	NS	0.0199	Risky
AACS	PRAD	0.312389811965603	2.80254875207785e-12	11.5524468238448	Overexpression	****	4.3e-24	23.3665315444204	Gene expression	Stemness	0.58	NS	0.316	NS	0.984	NS	0.364	NS
AACS	STAD	0.370715360014932	4.61724805517947e-14	13.3356167929598	Overexpression	****	9.5e-09	8.02227639471115	Gene expression	Stemness	0.562	NS	0.919	NS	0.06	NS	0.949	NS
AACS	TGCT	0.276744873689513	0.0133566964946654	1.87430094242516	Underexpression	****	4.6e-07	6.33724216831843	Gene expression	Stemness	0.945	NS	0.676	NS	0.0912	NS	0.304	NS
AACS	UCEC	0.22956222744966	0.024597429996019	1.60911026675247	Overexpression	****	8.5e-09	8.07058107428571	Gene expression	Stemness	0.844	NS	0.76	NS	0.659	NS	0.641	NS
AADAT	BLCA	0.176067681933364	0.0118343371047564	1.92685606387003	Unchanged	ns	0.49	0.309803919971486	Gene expression	MSI	0.608	NS	0.438	NS	0.69	NS	0.421	NS
AADAT	BRCA	0.100842442500891	0.00430487285473949	2.36603967099325	Underexpression	****	1.4e-34	33.8538719643218	Gene expression	Stemness	0.957	NS	0.564	NS	0.16	NS	0.504	NS
AADAT	COAD	0.308122884536016	5.78414108459628e-07	6.23776112243649	Underexpression	*	0.031	1.50863830616573	Gene expression	Stemness	0.042	Protective	0.00301	Protective	0.837	NS	0.0591	NS
AADAT	ESCA	-0.248331144929963	0.0118343371047564	1.92685606387003	Unchanged	ns	0.054	1.26760624017703	Gene expression	MSI	0.854	NS	0.346	NS	0.628	NS	0.218	NS
AADAT	ESCA	-0.308576751249322	0.0011581942103058	2.93621861039084	Unchanged	ns	0.054	1.26760624017703	Gene expression	TMB	0.854	NS	0.346	NS	0.628	NS	0.218	NS
AADAT	GBM	0.279501396647078	0.00612928605717499	2.21259010941089	Overexpression	****	4.3e-10	9.36653154442041	Gene expression	Stemness	0.882	NS	0.87	NS			0.109	NS
AADAT	KICH	-0.397448803612967	3.10461198178628e-05	4.50799267075285	Underexpression	**	0.0025	2.60205999132796	Gene expression	Stemness	0.267	NS	0.557	NS	0.116	NS	0.279	NS
AADAT	LGG	0.364822624901818	0.0106647108130404	1.97205091649243	Overexpression	****	2.3e-88	87.6382721639824	Gene expression	Stemness	0.00616	Protective	0.0198	Protective	0.83	NS	0.0373	Protective
AADAT	LIHC	-0.181154073607065	5.65782760644022e-07	6.24735028959595	Underexpression	****	9.9e-44	43.0043648054025	Gene expression	Stemness	0.722	NS	0.569	NS	0.414	NS	0.367	NS
AADAT	LUAD	-0.168557313977457	0.00513342342554273	2.28959291189501	Underexpression	****	2.9e-24	23.537602002101	Gene expression	Stemness	0.692	NS	0.66	NS	0.288	NS	0.388	NS
AADAT	LUAD	-0.2233916613096	1.23261736561969e-05	4.90917171804322	Underexpression	****	2.9e-24	23.537602002101	Gene expression	TMB	0.692	NS	0.66	NS	0.288	NS	0.388	NS
AADAT	MESO	-0.392168817084611	0.0262428311038311	1.58098931462993	""	""			Gene expression	Stemness	0.0206	Risky	0.0827	NS	0.962	NS	0.254	NS
AADAT	PAAD	-0.424930468640983	3.07569415401098e-09	8.5120568528203	Underexpression	****	3e-11	10.5228787452803	Gene expression	Stemness	0.297	NS	0.298	NS	0.354	NS	0.0183	Protective
AADAT	PCPG	0.264934838189027	0.00298865850400402	2.52452370633896	Overexpression	**	0.0046	2.33724216831843	Gene expression	Stemness	0.128	NS	0.798	NS	0.798	NS	0.227	NS
AADAT	PRAD	0.207250212890756	2.50521163247715e-16	15.6011555804016	Unchanged	ns	0.077	1.11350927482752	Gene expression	Stemness	0.735	NS	0.896	NS	0.14	NS	0.246	NS
AADAT	STAD	-0.190409059530526	0.0177974228564107	1.74964288085242	Unchanged	ns	0.87	0.0604807473813815	Gene expression	MSI	0.161	NS	0.063	NS	0.889	NS	0.564	NS
AADAT	STAD	-0.162911931817309	0.0292621377579118	1.53369394948374	Unchanged	ns	0.87	0.0604807473813815	Gene expression	TMB	0.161	NS	0.063	NS	0.889	NS	0.564	NS
AADAT	STAD	-0.15394537352405	0.00471617607391918	2.32640998930552	Unchanged	ns	0.87	0.0604807473813815	Gene expression	Stemness	0.161	NS	0.063	NS	0.889	NS	0.564	NS
AADAT	TGCT	-0.492937383930909	0.00150526390914096	2.8223873510763	Underexpression	****	1.4e-34	33.8538719643218	Gene expression	Stemness	0.649	NS	0.817	NS	0.483	NS	0.106	NS
AADAT	THYM	-0.464646354255843	2.29913368097647e-06	5.63843577635032	Overexpression	****	3.3e-64	63.4814860601221	Gene expression	Stemness	0.483	NS	0.023	Protective			0.099	NS
AANAT	KIRC	-0.130817544330287	0.0297312491555004	1.52678684357192	Overexpression	****	3.5e-06	5.45593195564972	Gene expression	Stemness	0.152	NS	0.209	NS	0.543	NS	0.646	NS
