genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
(`JMJD7-PLA2G4B` + PLA2G12B + PLA2G2D + PLA2G2E + PLA2G2F + PLA2G3 + PLA2G4B + PLA2G4C + PLA2G4D + PLA2G4E + PLA2G4F + PLB1)	SKCM	0.687194551465225	5.21636330088499e-11	10.2826321691789	Underexpression	****	1.4e-42	41.8538719643218	Mutation	Tumor mutational burden	0.57	NS	0.98	NS			0.631	NS
(`JMJD7-PLA2G4B` + PLA2G16 + PLD3 + PLD4)	ESCA	0.982249208986805	2.34288861078912e-129	128.630248358808	Overexpression	****	3.3e-05	4.48148606012211	Mutation	Microsatellite instability	0.749	NS	0.997	NS			0.32	NS
(`JMJD7-PLA2G4B` + PLA2G16 + PLD3 + PLD4)	ESCA	0.832410198473955	4.21720366529762e-44	43.3749754246956	Overexpression	****	3.3e-05	4.48148606012211	Mutation	Tumor mutational burden	0.749	NS	0.997	NS			0.32	NS
(`JMJD7-PLA2G4B` + PLA2G16 + PTGDS)	ESCA	0.693199929212513	9.90587980597395e-25	24.004106945879	Underexpression	****	1.3e-53	52.8860566476932	Mutation	Tumor mutational burden	0.97	NS	0.645	NS			0.166	NS
(`JMJD7-PLA2G4B` + PLA2G16)	ESCA	0.956143229088264	2.29104440028191e-95	94.639966494132	Underexpression	****	8.2e-21	20.0861861476163	Mutation	Microsatellite instability	0.995	NS	0.996	NS			0.246	NS
(`JMJD7-PLA2G4B` + PLA2G16)	ESCA	0.689476900673136	1.48980917795519e-24	23.8268693545865	Underexpression	****	8.2e-21	20.0861861476163	Mutation	Tumor mutational burden	0.995	NS	0.996	NS			0.246	NS
(`NME1-NME2` + PDE8A)	BRCA	0.806961583553523	3.42850080114426e-178	177.464895744716	Underexpression	****	8.4e-31	30.0757207139381	Mutation	Tumor mutational burden	0.00468	Risky	0.00175	Risky	0.996	NS	0.0179	Risky
(AACS + ABAT + ACAD8 + ACADM + ACADS + ACAT2 + ACSF3 + AGXT2 + ALDH1B1 + ALDH2 + ALDH6A1 + ALDH7A1 + AUH + BCAT1 + DBT + ECHS1 + EHHADH + HADH + HADHA + HADHB + HIBADH + HIBCH + HMGCS1 + HMGCS2 + HSD17B10 + IL4I1 + IVD + MCCC1 + MCCC2 + PCCB)	UCEC	0.9461066649525	2.75564278749382e-82	81.5597770804781	Overexpression	**	0.0034	2.46852108295775	Mutation	Tumor mutational burden	0.0864	NS	0.141	NS	0.215	NS	0.0363	Protective
(AACS + ABAT + ACADS + ACAT2 + ACSM1 + ACSM2B + ACSM3 + ACSM5 + BDH1 + ECHS1 + EHHADH + HADH + HADHA + HMGCS1 + HMGCS2)	UCEC	0.89697690857401	6.5280373651034e-73	72.1852173684374	Underexpression	****	1e-17	17	Mutation	Tumor mutational burden	0.1	NS	0.16	NS	0.324	NS	0.0439	Protective
(AACS + ABAT + ACAT1 + ACSM1 + ACSM2A + ACSM2B + ACSM4 + ALDH5A1 + EHHADH + GAD1 + OXCT2)	COAD	0.785076393024024	1.68786805336769e-34	33.7726615067234	Underexpression	****	1e-20	20	Mutation	Tumor mutational burden	0.385	NS	0.223	NS	0.184	NS	0.045	Protective
