"Display_Name","Transcript_ID","Gene_ID","Biotype","Start","End","Chromosome","Description","Canonical_Transcript"
"AACS","ENST00000418937","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000316519","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000537477","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000537564","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000441247","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000316543","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000539251","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000538851","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000545511","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000536118","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000543665","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AACS","ENST00000398953","ENSG00000081760","protein_coding",125065434,125143333,"12","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENST00000316519.11"
"AADAT","ENST00000337664","ENSG00000109576","protein_coding",170060222,170091699,"4","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENST00000337664.9"
"AADAT","ENST00000509167","ENSG00000109576","protein_coding",170060222,170091699,"4","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENST00000337664.9"
"AADAT","ENST00000515480","ENSG00000109576","protein_coding",170060222,170091699,"4","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENST00000337664.9"
"AADAT","ENST00000353187","ENSG00000109576","protein_coding",170060222,170091699,"4","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENST00000337664.9"
"AADAT","ENST00000505906","ENSG00000109576","protein_coding",170060222,170091699,"4","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENST00000337664.9"
"AADAT","ENST00000510340","ENSG00000109576","protein_coding",170060222,170091699,"4","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENST00000337664.9"
"AADAT","ENST00000507375","ENSG00000109576","protein_coding",170060222,170091699,"4","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENST00000337664.9"
"AADAT","ENST00000502392","ENSG00000109576","protein_coding",170060222,170091699,"4","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENST00000337664.9"
"AANAT","ENST00000250615","ENSG00000129673","protein_coding",76453351,76470117,"17","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]","ENST00000392492.8"
"AANAT","ENST00000392492","ENSG00000129673","protein_coding",76453351,76470117,"17","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]","ENST00000392492.8"
"AANAT","ENST00000587798","ENSG00000129673","protein_coding",76453351,76470117,"17","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]","ENST00000392492.8"
