genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
(`ABHD11-AS1` + `ACTA2-AS1` + `AFAP1-AS1` + BLACAT1 + `ELFN1-AS1` + `GATA6-AS1` + `HAS2-AS1` + `HNF1A-AS1` + `HOXA-AS2` + IL7R + LINC00526 + `LOXL1-AS1` + `MAGI2-AS3` + MIR31HG + `MRPL23-AS1` + NBAT1 + PCAT18 + `SPRY4-IT1` + `TSPEAR-AS2` + UCA1 + `ZNF674-AS1`)	KICH	-0.848246715198224	1.20335483021035e-11	10.9196062944553	Underexpression	****	5e-17	16.301029995664	Gene expression	Stemness	0.71	NS	0.597	NS	0.332	NS	0.916	NS
(`ABHD11-AS1` + `AGAP2-AS1` + `FOXD2-AS1` + NBAT1 + `SH3PXD2A-AS1` + SNHG6)	TGCT	-0.716409675430817	3.65693277641586e-06	5.43688302300896	Overexpression	****	5.7e-30	29.2441251443275	Gene expression	Stemness	0.507	NS	0.795	NS	0.418	NS	0.135	NS
(`ABHD11-AS1` + `CDKN2B-AS1` + DANCR + PCAT18 + RPL13AP20 + SNHG15 + Tmem235)	THYM	0.705721601817461	1.32228757663022e-06	5.87867408239839	Overexpression	****	3.2e-61	60.4948500216801	Gene expression	Stemness	0.298	NS	0.318	NS			0.549	NS
(`ABHD11-AS1` + `DHRS4-AS1` + `LAMP5-AS1` + LINC00160 + `LOXL1-AS1` + `ROR1-AS1`)	BRCA	-0.423387631241049	3.22844856356453e-51	50.4910061284894	Overexpression	****	7.8e-61	60.1079053973095	Gene expression	Stemness	0.652	NS	0.377	NS	0.0267	Protective	0.44	NS
(`ABHD11-AS1` + `HOXA11-AS`)	STAD	0.239592243163306	0.027492227258554	1.56079007474668	Overexpression	****	3.2e-69	68.4948500216801	Gene expression	Stemness	0.66	NS	0.911	NS	0.354	NS	0.554	NS
(`ABHD11-AS1` + AIRN)	LAML	-0.336988342053035	0.000154086079679612	3.81223659419139	Overexpression	****	3.7e-11	10.431798275933	Gene expression	Stemness	0.00226	Risky						
(`ABHD11-AS1` + BANCR + FENDRR + HEIH + IL7R + `LAMP5-AS1` + `LINC-PINT` + NBAT1 + SNHG22 + `SPRY4-IT1` + `ZEB2-AS1`)	LUSC	-0.694417163895353	0.0120377838024416	1.91945346083261	Underexpression	****	2e-120	119.698970004336	Gene expression	Stemness	0.409	NS	0.569	NS	0.827	NS	0.327	NS
(`ABHD11-AS1` + BLACAT1 + HAGLR + LINC00460 + LINC00511 + RPL13AP20 + TINCR + UCA1 + `UNC5B-AS1`)	THCA	-0.493421873652016	1.22825912331711e-05	4.91071000130951	Overexpression	****	2.2e-80	79.6575773191778	Gene expression	Stemness	0.667	NS	0.885	NS	0.722	NS	0.661	NS
(`ABHD11-AS1` + NKILA + `UNC5B-AS1`)	COAD	-0.367026833691248	0.0223973845525974	1.64980269330391	Overexpression	****	4.2e-47	46.3767507096021	Gene expression	Stemness	0.47	NS	0.227	NS	0.429	NS	0.468	NS
(`ABHD14A-ACY1` + ARG1 + CPS1 + GLUL + GPT + NAGS + OTC)	TGCT	-0.690596806463013	4.50446118665942e-06	5.34635715089036	Underexpression	****	3.5e-44	43.4559319556497	Gene expression	Stemness	0.654	NS	0.682	NS	0.609	NS	0.839	NS
(`ACTA2-AS1` + `BDNF-AS` + `CACNA1G-AS1` + CRNDE + `DHRS4-AS1` + `FAM83H-AS1` + KCNQ1OT1 + LINC00511 + LINC00526 + LINC00662 + LINC01088 + `LOXL1-AS1` + `MAGI2-AS3` + `MRPL23-AS1` + `MYLK-AS1` + PART1 + PCAT6 + `ZEB2-AS1`)	TGCT	-0.86997485493131	0.00426833468601925	2.36974153428212	Underexpression	****	5.5e-51	50.2596373105058	Gene expression	Stemness	0.993	NS	0.763	NS	0.924	NS	0.515	NS
(`ACTA2-AS1` + `BDNF-AS` + `HAS2-AS1` + `HOXA-AS2` + LINC01088 + LSINCT5 + `MAGI2-AS3` + NBAT1 + `NPTN-IT1` + PWAR5 + PWAR6 + `SPRY4-IT1`)	BRCA	-0.636521336182146	4.33982502037126e-134	133.362527780676	Underexpression	****	8.9e-120	119.050609993355	Gene expression	Stemness	0.895	NS	0.953	NS	0.422	NS	0.886	NS
(`ACTA2-AS1` + `BDNF-AS` + `HOXA-AS2` + LSINCT5 + `NPTN-IT1` + PWAR5 + PWAR6)	LUSC	-0.565185715423267	1.20857635895627e-14	13.9177259052681	Underexpression	****	7.6e-122	121.119186407719	Gene expression	Stemness	0.484	NS	0.7	NS	0.579	NS	0.25	NS
